"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2695","@P1 TC-SF05a — Empty script: Parse Script button is disabled","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","3180","@smoke @P2 TC-N01 — All three nav links are visible in the header","firefox","2026-03-16","passed","2026-03-16","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2526","@P2 TC-N01 — Clicking History nav loads the History page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1682","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","mobile-safari","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","20514","@smoke @P2 TC-H03 — All Videos tab displays a video count greater than zero","chromium","2026-03-17","failed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P2 TC-S07 — HQ toggle can be enabled","chromium","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","chromium","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","3389","@P1 TC-H06 — Cookie UUID is assigned on first visit","mobile-safari","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-H03 — All Videos tab shows videos from multiple different users","chromium","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1735","@P2 TC-S06 — Can switch to Portrait","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","2703","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1","@P2 TC-S07 — HQ toggle is present and defaults to off","firefox","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P2 TC-N01 — Clicking History nav loads the History page","firefox","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1","@P2 TC-H07 — After cookie clear, Your Videos tab shows empty state","chromium","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","3014","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","firefox","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1834","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2853","@P2 TC-S06 — Default aspect ratio is Landscape","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1435","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1902","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","8984","@smoke @P2 TC-N01 — All three nav links are visible in the header","chromium","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning disappears when toggle is disabled","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","2866","@P3 TC-H05 — Refresh button reloads video list without full page navigation","mobile-chrome","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P1 TC-SF05b — Empty script: submitting shows validation feedback","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-S08a — Empty prompt: generate button is disabled","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2709","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle is present and defaults to off","webkit","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","1450","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","5349","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-H07 — Clearing cookies results in a new UUID on revisit","webkit","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@smoke @P1 TC-S01 — Studio page loads with correct heading","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P2 TC-S06 — Default aspect ratio is Landscape","chromium","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1","@P2 TC-S06 — Can switch back to Landscape from Portrait","firefox","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P2 TC-S07 — HQ toggle can be enabled","webkit","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","4148","@P2 TC-N01 — App logo/title link returns to Studio from any page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","2341","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2063","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","4348","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","chromium","2026-03-17","failed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1775","@P1 TC-SF05a — Empty script: Parse Script button is disabled","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","3962","@P2 TC-H04 — First video card contains a cookie ID","mobile-safari","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","0","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","3593","@smoke @P2 TC-N01 — All three nav links are visible in the header","webkit","2026-03-16","passed","2026-03-16","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1876","@smoke @P1 TC-S01 — Studio page loads with correct heading","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","1804","@P2 TC-SF04 — High Quality warning disappears when toggle is disabled","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","2161","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","0","@P1 TC-S01 — Generate button label reflects default video count of 3","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P1 TC-S03 — Count 1 (minimum (1)) updates generate button label","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","2622","@P2 TC-S07 — HQ toggle can be disabled after enabling","mobile-safari","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","4310","@P1 TC-H01 — Your Videos tab shows only videos matching the current user cookie","mobile-safari","2026-03-17","passed","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","1978","@P1 TC-SF01 — Parse Script button is visible and enabled when script is present","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","5364","@P1 TC-H06 — UUID in debug panel matches the browser cookie value","chromium","2026-03-17","failed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P1 TC-S08a — Empty prompt: generate button is disabled","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","0","@P1 TC-S03 — Count 1 (minimum (1)) updates generate button label","firefox","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","4116","@P1 TC-H06 — Cookie UUID is assigned on first visit","webkit","2026-03-16","passed","2026-03-16","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@P2 TC-N01 — Clicking History nav loads the History page","chromium","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1695","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","mobile-chrome","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2241","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","20476","@smoke @P1 TC-H02 — Empty state is shown for a new user with no videos","chromium","2026-03-17","failed","2026-03-17","History — Your Videos","history\yourVideos.spec.js","",""
"","2157","@P1 TC-H06 — UUID in debug panel matches the browser cookie value","mobile-chrome","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@smoke @P1 TC-S01 — Studio page loads with correct heading","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","3064","@P2 TC-S06 — Can switch to Portrait","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","5469","@P2 TC-H07 — Clearing cookies results in a new UUID on revisit","mobile-safari","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-H07 — After cookie clear, Your Videos tab shows empty state","webkit","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","firefox","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P1 TC-S01 — Generate button label reflects default video count of 3","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-N01 — App logo/title link returns to Studio from any page","webkit","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","3640","@P1 TC-SF01 — Script textarea accepts multi-scene screenplay content","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","1","@P2 TC-H03 — All Videos tab shows videos from multiple different users","firefox","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1844","@P1 TC-S01 — Generate button label reflects default video count of 3","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","10580","@smoke @P1 TC-H02 — Empty state is shown for a new user with no videos","firefox","2026-03-16","passed","2026-03-16","History — Your Videos","history\yourVideos.spec.js","",""
"","0","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","chromium","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","3603","@smoke @P2 TC-N01 — All three nav links are visible in the header","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P2 TC-S06 — Can switch to Portrait","chromium","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","3241","@P2 TC-S06 — Can switch back to Landscape from Portrait","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2","@P2 TC-SF04 — High Quality warning disappears when toggle is disabled","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-S06 — Can switch to Portrait","webkit","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1540","@P1 TC-S03 — Count 1 (minimum (1)) updates generate button label","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","0","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","firefox","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","3114","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","webkit","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2375","@P2 TC-S07 — HQ toggle can be enabled","mobile-safari","2026-03-17","passed","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle can be disabled after enabling","webkit","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","2099","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1659","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P1 TC-SF01 — Parse Script button is visible and enabled when script is present","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","3095","@P1 TC-SF05b — Empty script: submitting shows validation feedback","mobile-safari","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
